key,region,cat1,cat2,amount,time
254,대구광역시,050. 교육,053. 평생 및 직업교육,356251,2012
255,대구광역시,060. 문화 및 관광,061. 문화예술,86888,2012
256,대구광역시,060. 문화 및 관광,062. 관광,18843,2012
257,대구광역시,060. 문화 및 관광,063. 체육,163758,2012
258,대구광역시,060. 문화 및 관광,064. 문화재,8767,2012
259,대구광역시,060. 문화 및 관광,065. 문화 및 관광 일반,243,2012
260,대구광역시,070. 환경보호,071. 상하수도 및 수질,330122,2012
261,대구광역시,070. 환경보호,072. 폐기물,106648,2012
262,대구광역시,070. 환경보호,073. 대기,9078,2012
263,대구광역시,070. 환경보호,074. 자연,5203,2012
264,대구광역시,070. 환경보호,075. 해양,0,2012
265,대구광역시,070. 환경보호,076. 환경보호일반,6621,2012
266,대구광역시,080. 사회복지,081. 기초생활보장,891265,2012
267,대구광역시,080. 사회복지,082. 취약계층지원,380960,2012
268,대구광역시,080. 사회복지,"084. 보육, 가족 및 여성",629110,2012
269,대구광역시,080. 사회복지,085. 노인 및 청소년,515677,2012
270,대구광역시,080. 사회복지,086. 노동,50177,2012
271,대구광역시,080. 사회복지,087. 보훈,6203,2012
272,대구광역시,080. 사회복지,088. 주택,0,2012
273,대구광역시,080. 사회복지,089. 사회복지일반,11519,2012
274,대구광역시,090. 보건,091. 보건의료,185769,2012
275,대구광역시,090. 보건,093. 식품의약안전,2740,2012
276,대구광역시,100. 농림해양수산,101. 농업 및 농촌,59561,2012
277,대구광역시,100. 농림해양수산,102. 임업 및 산촌,28606,2012
278,대구광역시,100. 농림해양수산,103. 해양수산 및 어촌,20,2012
279,대구광역시,110. 산업 및 중소기업,112. 산업기술지원,0,2012
280,대구광역시,110. 산업 및 중소기업,113. 무역 및 투자유치,32257,2012
281,대구광역시,110. 산업 및 중소기업,114. 산업진흥 및 고도화,257462,2012
282,대구광역시,110. 산업 및 중소기업,115. 에너지 및 자원개발,562,2012
283,대구광역시,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,9944,2012
284,대구광역시,120. 수송 및 교통,121. 도로,232139,2012
285,대구광역시,120. 수송 및 교통,123. 도시철도,296806,2012
286,대구광역시,120. 수송 및 교통,124. 해운 및 항만,0,2012
287,대구광역시,120. 수송 및 교통,125. 항공 및 공항,1539,2012
288,대구광역시,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",639339,2012
289,대구광역시,140. 국토 및 지역개발,141. 수자원,37722,2012
290,대구광역시,140. 국토 및 지역개발,142. 지역 및 도시,202757,2012
291,대구광역시,140. 국토 및 지역개발,143. 산업단지,17595,2012
292,대구광역시,150. 과학기술,153. 과학기술일반,0,2012
293,대구광역시,160. 예비비,161. 예비비,73438,2012
294,대구광역시,900. 기타,901. 기타,873340,2012
295,대전광역시,010. 일반공공행정,011. 입법 및 선거관리,7658,2012
296,대전광역시,010. 일반공공행정,013. 지방행정 및 재정지원,453493,2012
297,대전광역시,010. 일반공공행정,014. 재정 및 금융,2406,2012
298,대전광역시,010. 일반공공행정,016. 일반행정,106174,2012
299,대전광역시,020. 공공질서 및 안전,023. 경찰,0,2012
300,대전광역시,020. 공공질서 및 안전,025. 재난방재 및 민방위,37165,2012
301,대전광역시,050. 교육,051. 유아 및 초중등 교육,231030,2012
302,대전광역시,050. 교육,052. 고등교육,0,2012
303,대전광역시,050. 교육,053. 평생 및 직업교육,9021,2012
304,대전광역시,060. 문화 및 관광,061. 문화예술,78453,2012
305,대전광역시,060. 문화 및 관광,062. 관광,15444,2012
306,대전광역시,060. 문화 및 관광,063. 체육,71298,2012
307,대전광역시,060. 문화 및 관광,064. 문화재,8671,2012
308,대전광역시,060. 문화 및 관광,065. 문화 및 관광 일반,163,2012
309,대전광역시,070. 환경보호,071. 상하수도 및 수질,164851,2012
310,대전광역시,070. 환경보호,072. 폐기물,78154,2012
311,대전광역시,070. 환경보호,073. 대기,444,2012
312,대전광역시,070. 환경보호,074. 자연,7292,2012
313,대전광역시,070. 환경보호,075. 해양,0,2012
314,대전광역시,070. 환경보호,076. 환경보호일반,17232,2012
315,대전광역시,080. 사회복지,081. 기초생활보장,482300,2012
316,대전광역시,080. 사회복지,082. 취약계층지원,233740,2012
317,대전광역시,080. 사회복지,"084. 보육, 가족 및 여성",443150,2012
318,대전광역시,080. 사회복지,085. 노인 및 청소년,277874,2012
319,대전광역시,080. 사회복지,086. 노동,14660,2012
320,대전광역시,080. 사회복지,087. 보훈,7174,2012
321,대전광역시,080. 사회복지,088. 주택,0,2012
322,대전광역시,080. 사회복지,089. 사회복지일반,26522,2012
323,대전광역시,090. 보건,091. 보건의료,71265,2012
324,대전광역시,090. 보건,093. 식품의약안전,4957,2012
325,대전광역시,100. 농림해양수산,101. 농업 및 농촌,45348,2012
326,대전광역시,100. 농림해양수산,102. 임업 및 산촌,13492,2012
327,대전광역시,100. 농림해양수산,103. 해양수산 및 어촌,0,2012
328,대전광역시,110. 산업 및 중소기업,112. 산업기술지원,2183,2012
329,대전광역시,110. 산업 및 중소기업,113. 무역 및 투자유치,19851,2012
330,대전광역시,110. 산업 및 중소기업,114. 산업진흥 및 고도화,47836,2012
331,대전광역시,110. 산업 및 중소기업,115. 에너지 및 자원개발,1572,2012
332,대전광역시,110. 산업 및 중소기업,116. 산업 및 중소기업 일반,10964,2012
333,대전광역시,120. 수송 및 교통,121. 도로,106462,2012
334,대전광역시,120. 수송 및 교통,123. 도시철도,33321,2012
